client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
1731647557.4042168,1731647557.4190564,1731647557.436956,1731647557.4853232,1731647557.4195492,1731647557.4853494,1731647558.4214768,1731647558.419993
1731647558.4201915,1731647558.4317656,1731647558.4412787,1731647558.4632766,1731647558.4332085,1731647558.4633024,1731647558.4648716,1731647558.4630485
1731647558.4632337,1731647558.4719644,1731647558.4798784,1731647558.5023875,1731647558.4725473,1731647558.5024102,1731647558.5034468,1731647558.5014198
1731647558.5016181,1731647558.5101204,1731647558.5179274,1731647558.5413563,1731647558.5106702,1731647558.541378,1731647558.542353,1731647558.540239
1731647558.5403755,1731647558.548979,1731647558.55661,1731647558.577487,1731647558.5495198,1731647558.5775094,1731647558.5788057,1731647558.5767047
1731647558.5768533,1731647558.5852056,1731647558.5927105,1731647558.613115,1731647558.5857577,1731647558.613138,1731647558.6142814,1731647558.6121907
1731647558.6123128,1731647558.6204932,1731647558.6279776,1731647558.6511862,1731647558.6210291,1731647558.651207,1731647558.6523206,1731647558.6501522
1731647558.650274,1731647558.658672,1731647558.666446,1731647558.688039,1731647558.659218,1731647558.6880596,1731647558.6890728,1731647558.6869824
1731647558.68713,1731647558.6955566,1731647558.7029433,1731647558.7239397,1731647558.696108,1731647558.72396,1731647558.7250388,1731647558.7233324
1731647558.723528,1731647558.732143,1731647558.739573,1731647558.7640605,1731647558.7327158,1731647558.7640834,1731647558.765126,1731647558.7633338
1731647558.7635806,1731647558.7726083,1731647558.780212,1731647558.801464,1731647558.7731566,1731647558.801484,1731647558.8026352,1731647558.8008244
1731647558.8010225,1731647558.8096144,1731647558.81732,1731647558.8382964,1731647558.8101454,1731647558.8383164,1731647558.8393002,1731647558.8371887
1731647558.8376446,1731647558.8465033,1731647558.855041,1731647558.8766692,1731647558.8470438,1731647558.8767118,1731647558.8778384,1731647558.8760083
1731647558.8762026,1731647558.8850293,1731647558.8927274,1731647558.9133646,1731647558.8855913,1731647558.9133885,1731647558.9145744,1731647558.9127493
1731647558.9129324,1731647558.9216616,1731647558.9295502,1731647558.950529,1731647558.9221966,1731647558.9505482,1731647558.9516044,1731647558.9496644
1731647558.949856,1731647558.9584696,1731647558.9664013,1731647558.9874508,1731647558.9590368,1731647558.9874732,1731647558.9884496,1731647558.9863644
1731647558.9865851,1731647558.9959822,1731647559.005462,1731647559.0282319,1731647558.9966478,1731647559.0282488,1731647559.0291638,1731647559.0270813
1731647559.0272589,1731647559.03656,1731647559.0451293,1731647559.0680735,1731647559.0371675,1731647559.0680974,1731647559.0691006,1731647559.0672543
1731647559.0674691,1731647559.076045,1731647559.0837567,1731647559.106335,1731647559.0765975,1731647559.106357,1731647559.1075685,1731647559.1057534
1731647559.1059551,1731647559.1163242,1731647559.1244133,1731647559.1584702,1731647559.1168864,1731647559.1585004,1731647559.159557,1731647559.1578214
1731647559.158038,1731647559.1670582,1731647559.176153,1731647559.2098112,1731647559.1676507,1731647559.2098384,1731647559.2109187,1731647559.209263
1731647559.2094588,1731647559.2195523,1731647559.2264936,1731647559.2549987,1731647559.2200046,1731647559.2550166,1731647559.2560189,1731647559.253876
1731647559.2540674,1731647559.2629752,1731647559.2716606,1731647559.3041377,1731647559.2636046,1731647559.304162,1731647559.305168,1731647559.3033295
1731647559.3035858,1731647559.3122911,1731647559.3212454,1731647559.3569722,1731647559.312871,1731647559.3569925,1731647559.3579636,1731647559.3560245
1731647559.3562212,1731647559.3646705,1731647559.3712687,1731647559.388933,1731647559.365109,1731647559.3889465,1731647559.3899014,1731647559.3876405
1731647559.3878253,1731647559.395993,1731647559.402457,1731647559.4218962,1731647559.3963737,1731647559.4219084,1731647559.4229221,1731647559.4206874
1731647559.4208841,1731647559.4308195,1731647559.437258,1731647559.4600284,1731647559.431191,1731647559.4600418,1731647559.4610736,1731647559.4588926
