client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,client_receive_at
1731643218.9155784,1731643218.8744724,1731643218.8884687,1731643219.0659735,1731643218.8762774,1731643219.1136281
1731643219.1136963,1731643219.0700204,1731643219.0777216,1731643219.2586741,1731643219.0715897,1731643219.306115
1731643219.3061922,1731643219.2629972,1731643219.270688,1731643219.4480526,1731643219.2645197,1731643219.4955056
1731643219.495589,1731643219.4517236,1731643219.4587126,1731643219.6361525,1731643219.4531374,1731643219.6836638
1731643219.683719,1731643219.639811,1731643219.6467552,1731643219.8217807,1731643219.641178,1731643219.8691962
1731643219.8692517,1731643219.8258755,1731643219.8330057,1731643220.020251,1731643219.8272438,1731643220.0677047
1731643220.0677617,1731643220.0243733,1731643220.0325644,1731643220.2089589,1731643220.0260372,1731643220.2563717
1731643220.2564254,1731643220.2127728,1731643220.219975,1731643220.3887029,1731643220.2141225,1731643220.4362483
1731643220.4363043,1731643220.3927917,1731643220.4001071,1731643220.5689087,1731643220.3940861,1731643220.6166854
1731643220.61675,1731643220.5731552,1731643220.5804126,1731643220.7513797,1731643220.5745096,1731643220.7990735
1731643220.7991734,1731643220.7556477,1731643220.762799,1731643220.9331818,1731643220.7569115,1731643220.9808567
1731643220.980918,1731643220.937087,1731643220.9433262,1731643221.1107311,1731643220.9383826,1731643221.1583931
1731643221.1584523,1731643221.1145165,1731643221.120676,1731643221.284228,1731643221.1158059,1731643221.3317845
1731643221.331853,1731643221.288732,1731643221.2951267,1731643221.4588733,1731643221.2902215,1731643221.506355
1731643221.506416,1731643221.4624054,1731643221.4687152,1731643221.6310916,1731643221.4637334,1731643221.6787105
1731643221.678771,1731643221.6348102,1731643221.641011,1731643221.8051481,1731643221.6361492,1731643221.8529193
1731643221.852978,1731643221.8089824,1731643221.8156524,1731643221.9770007,1731643221.8102841,1731643222.0245218
1731643222.0245988,1731643221.98052,1731643221.9871733,1731643222.1514926,1731643221.981829,1731643222.198973
1731643222.1990237,1731643222.1550348,1731643222.1614184,1731643222.3268256,1731643222.1563308,1731643222.374361
1731643222.3744233,1731643222.3306382,1731643222.3371043,1731643222.496872,1731643222.3319485,1731643222.5443974
1731643222.5444472,1731643222.5005195,1731643222.5068452,1731643222.6747034,1731643222.50181,1731643222.7222185
1731643222.7223027,1731643222.6785104,1731643222.6847167,1731643222.8550806,1731643222.679799,1731643222.9026647
1731643222.9027302,1731643222.859052,1731643222.8657167,1731643223.0428598,1731643222.8603618,1731643223.090396
1731643223.0904565,1731643223.0463884,1731643223.0527508,1731643223.2299323,1731643223.0476878,1731643223.2774444
1731643223.277507,1731643223.2336125,1731643223.2407107,1731643223.4132936,1731643223.2349377,1731643223.4608445
1731643223.4609091,1731643223.417037,1731643223.4232433,1731643223.606063,1731643223.4183452,1731643223.6537669
1731643223.6538339,1731643223.6101391,1731643223.616684,1731643223.7856274,1731643223.6114979,1731643223.8331833
1731643223.83325,1731643223.7895057,1731643223.7961006,1731643223.9655426,1731643223.790947,1731643224.0133057
1731643224.0133576,1731643223.9694574,1731643223.976075,1731643224.138871,1731643223.9707632,1731643224.1866305
1731643224.1866858,1731643224.1427267,1731643224.149797,1731643224.3150485,1731643224.144115,1731643224.362738
1731643224.3627975,1731643224.3188267,1731643224.3253767,1731643224.492973,1731643224.320194,1731643224.5408556
1731643224.5409153,1731643224.4971218,1731643224.503646,1731643224.665095,1731643224.498492,1731643224.7127504
1731643224.7127993,1731643224.669156,1731643224.6760361,1731643224.8457203,1731643224.670926,1731643224.8933458
1731643224.893415,1731643224.8495836,1731643224.8559644,1731643225.0193887,1731643224.8508887,1731643225.0670362
1731643225.0671346,1731643225.0233126,1731643225.0296245,1731643225.19327,1731643225.0246363,1731643225.2410066
1731643225.2411027,1731643225.1971853,1731643225.2041109,1731643225.367043,1731643225.1985216,1731643225.4151468
1731643225.4152043,1731643225.3721485,1731643225.3790581,1731643225.547077,1731643225.3736775,1731643225.5948422
1731643225.5949044,1731643225.5510342,1731643225.5577302,1731643225.721321,1731643225.552352,1731643225.7690854
1731643225.7691662,1731643225.7253988,1731643225.7320893,1731643225.8945558,1731643225.7267268,1731643225.9420342
1731643225.9421349,1731643225.8983047,1731643225.9050214,1731643226.0720305,1731643225.8996344,1731643226.1196752
1731643226.1197598,1731643226.076081,1731643226.082743,1731643226.244287,1731643226.0775218,1731643226.2919757
1731643226.2920818,1731643226.2485394,1731643226.2549357,1731643226.4166088,1731643226.2498813,1731643226.464227
1731643226.4642913,1731643226.4205208,1731643226.4267092,1731643226.5887365,1731643226.421826,1731643226.6362755
1731643226.6363282,1731643226.5923736,1731643226.5987775,1731643226.7642436,1731643226.593684,1731643226.8118196
1731643226.8118815,1731643226.7680774,1731643226.7743092,1731643226.934979,1731643226.7693944,1731643226.9826376
1731643226.9827278,1731643226.938807,1731643226.9452732,1731643227.115183,1731643226.940141,1731643227.16283
1731643227.1629467,1731643227.1192386,1731643227.1258485,1731643227.288793,1731643227.1206017,1731643227.336341
