client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,client_receive_at
1731646168.8157248,1731646168.823766,1731646168.8397224,1731646168.8670385,1731646168.825697,1731646168.8683677
1731646168.8686452,1731646168.8727734,1731646168.881514,1731646168.9062982,1731646168.874412,1731646168.907264
1731646168.907394,1731646168.910931,1731646168.9190233,1731646168.9422956,1731646168.9124448,1731646168.9431198
1731646168.9432395,1731646168.9464114,1731646168.9543743,1731646168.9776711,1731646168.9477916,1731646168.9784842
1731646168.9786184,1731646168.9814005,1731646168.9891338,1731646169.010398,1731646168.982756,1731646169.0108812
1731646169.0109992,1731646169.0137358,1731646169.021082,1731646169.0413063,1731646169.015003,1731646169.0416877
1731646169.0417974,1731646169.0445378,1731646169.052886,1731646169.0765011,1731646169.0458443,1731646169.0773745
1731646169.0774856,1731646169.08055,1731646169.088661,1731646169.1111403,1731646169.0819793,1731646169.1119587
1731646169.1120663,1731646169.1150246,1731646169.1233995,1731646169.1450899,1731646169.116409,1731646169.1457543
1731646169.1458735,1731646169.1486678,1731646169.156798,1731646169.1795435,1731646169.150183,1731646169.1804397
1731646169.1806028,1731646169.1836371,1731646169.191418,1731646169.2129865,1731646169.1850798,1731646169.2145112
1731646169.2148373,1731646169.2181594,1731646169.226267,1731646169.2489111,1731646169.2196157,1731646169.2495956
1731646169.2497365,1731646169.2526526,1731646169.2605448,1731646169.281902,1731646169.254063,1731646169.2827415
1731646169.282877,1731646169.2855284,1731646169.2951586,1731646169.325201,1731646169.2869089,1731646169.3260245
1731646169.32619,1731646169.329168,1731646169.3355765,1731646169.3506343,1731646169.330535,1731646169.3513877
1731646169.3516219,1731646169.3546154,1731646169.3611763,1731646169.3771691,1731646169.3559492,1731646169.3780806
1731646169.3782835,1731646169.3815315,1731646169.3882127,1731646169.403665,1731646169.382873,1731646169.4045067
1731646169.4047475,1731646169.407826,1731646169.4144635,1731646169.4323173,1731646169.4090102,1731646169.433227
1731646169.4333968,1731646169.4370475,1731646169.4448676,1731646169.4697351,1731646169.4386296,1731646169.4704363
1731646169.4705882,1731646169.4742749,1731646169.4821084,1731646169.5016937,1731646169.4757607,1731646169.5026646
1731646169.5029361,1731646169.506205,1731646169.5127969,1731646169.5277097,1731646169.507502,1731646169.5290005
1731646169.5292962,1731646169.5327148,1731646169.539573,1731646169.5550025,1731646169.5340672,1731646169.5557582
1731646169.5559618,1731646169.5589144,1731646169.565173,1731646169.580455,1731646169.5602033,1731646169.5810843
1731646169.5812345,1731646169.5841875,1731646169.591719,1731646169.616811,1731646169.5855892,1731646169.617851
1731646169.6180441,1731646169.6218698,1731646169.6303468,1731646169.6540966,1731646169.6234732,1731646169.6548915
1731646169.6550357,1731646169.6586223,1731646169.666493,1731646169.691155,1731646169.66004,1731646169.6919575
1731646169.6920965,1731646169.6956434,1731646169.7026644,1731646169.7259862,1731646169.6970356,1731646169.7274015
1731646169.7277832,1731646169.7319875,1731646169.7387252,1731646169.761766,1731646169.733371,1731646169.7625065
1731646169.7627645,1731646169.7667367,1731646169.7736328,1731646169.7977448,1731646169.7680538,1731646169.7991562
1731646169.7994814,1731646169.8035688,1731646169.8109276,1731646169.83489,1731646169.8050401,1731646169.83619
1731646169.8364477,1731646169.8405855,1731646169.8479512,1731646169.8717172,1731646169.8420362,1731646169.8727672
1731646169.8731046,1731646169.877015,1731646169.884295,1731646169.907723,1731646169.878515,1731646169.9092066
1731646169.9095676,1731646169.9135964,1731646169.9211376,1731646169.9447334,1731646169.915062,1731646169.9456625
1731646169.9459085,1731646169.9496765,1731646169.9567947,1731646169.98113,1731646169.951114,1731646169.9824688
1731646169.9827957,1731646169.987226,1731646169.9950392,1731646170.0143774,1731646169.9887862,1731646170.0159159
1731646170.0162284,1731646170.0202694,1731646170.027607,1731646170.0512269,1731646170.0218134,1731646170.0522044
1731646170.052431,1731646170.0559716,1731646170.063317,1731646170.0869837,1731646170.0573013,1731646170.0880847
1731646170.0882986,1731646170.0917642,1731646170.098922,1731646170.1227171,1731646170.0931368,1731646170.1234875
1731646170.1236875,1731646170.1269035,1731646170.1342673,1731646170.1597016,1731646170.128291,1731646170.1609054
1731646170.161139,1731646170.1647177,1731646170.1717973,1731646170.1947036,1731646170.166143,1731646170.1960883
1731646170.1964366,1731646170.2002966,1731646170.2086973,1731646170.2294412,1731646170.201737,1731646170.2304573
1731646170.230661,1731646170.2337334,1731646170.2412324,1731646170.2595804,1731646170.2353003,1731646170.261022
1731646170.261426,1731646170.265305,1731646170.2731512,1731646170.2913544,1731646170.2669473,1731646170.2926126
1731646170.292872,1731646170.2959778,1731646170.3031805,1731646170.3247201,1731646170.2975578,1731646170.3255327
1731646170.325734,1731646170.3284948,1731646170.3361607,1731646170.3548152,1731646170.330031,1731646170.3560748
1731646170.3562868,1731646170.3594048,1731646170.3672736,1731646170.3852074,1731646170.3611119,1731646170.3865168
1731646170.3868437,1731646170.3905797,1731646170.3978877,1731646170.4164047,1731646170.3921132,1731646170.4174669
1731646170.4177847,1731646170.4213288,1731646170.4297466,1731646170.4481616,1731646170.4228609,1731646170.4494731
1731646170.4498398,1731646170.453657,1731646170.4614425,1731646170.4788942,1731646170.455391,1731646170.4803896
1731646170.4807327,1731646170.4840026,1731646170.4913316,1731646170.5080726,1731646170.48554,1731646170.5094051
1731646170.509656,1731646170.5129523,1731646170.5198574,1731646170.5389938,1731646170.5143757,1731646170.5403202
1731646170.540636,1731646170.5445359,1731646170.5530658,1731646170.5751512,1731646170.5462193,1731646170.5764406
1731646170.5767913,1731646170.580502,1731646170.5875666,1731646170.606341,1731646170.5819688,1731646170.6074495
1731646170.6078022,1731646170.6115239,1731646170.6190827,1731646170.6383202,1731646170.6131308,1731646170.6393647
1731646170.6395743,1731646170.642935,1731646170.650142,1731646170.6751475,1731646170.6444755,1731646170.6763105
1731646170.676605,1731646170.6808698,1731646170.6882904,1731646170.7072985,1731646170.6824882,1731646170.7083108
1731646170.7086177,1731646170.7123168,1731646170.7205014,1731646170.7400696,1731646170.7141702,1731646170.7410505
1731646170.7412202,1731646170.7443492,1731646170.7512558,1731646170.7700973,1731646170.7457995,1731646170.7707396
1731646170.7708802,1731646170.77423,1731646170.7822418,1731646170.8042004,1731646170.7760305,1731646170.8052452
1731646170.8054032,1731646170.8084927,1731646170.815645,1731646170.8336987,1731646170.8099873,1731646170.8343194
1731646170.834457,1731646170.8377447,1731646170.8454988,1731646170.8642309,1731646170.8395698,1731646170.8659039
1731646170.8661766,1731646170.8696194,1731646170.8766623,1731646170.89452,1731646170.8711748,1731646170.8954744
1731646170.8956926,1731646170.898486,1731646170.9056284,1731646170.9301689,1731646170.9000573,1731646170.931449
1731646170.931694,1731646170.934872,1731646170.9421751,1731646170.9616745,1731646170.9364583,1731646170.962489
1731646170.9626572,1731646170.9658701,1731646170.9745874,1731646170.996017,1731646170.967613,1731646170.997664
1731646170.9979413,1731646171.0013194,1731646171.0090368,1731646171.029003,1731646171.0031312,1731646171.0306754
1731646171.0309849,1731646171.0342429,1731646171.0414052,1731646171.0599513,1731646171.0358264,1731646171.060789
1731646171.0609412,1731646171.0637095,1731646171.0711718,1731646171.0893888,1731646171.0652316,1731646171.0906074
1731646171.090841,1731646171.094237,1731646171.1018755,1731646171.1256506,1731646171.0958083,1731646171.126382
1731646171.1265783,1731646171.1307726,1731646171.1388693,1731646171.1565406,1731646171.1329508,1731646171.1572802
1731646171.157645,1731646171.1607804,1731646171.1681213,1731646171.1853027,1731646171.162254,1731646171.1867394
1731646171.1870894,1731646171.1909404,1731646171.1984787,1731646171.2170317,1731646171.192638,1731646171.218181
1731646171.2184849,1731646171.221946,1731646171.2294896,1731646171.2557116,1731646171.2235823,1731646171.2569566
1731646171.2572017,1731646171.261523,1731646171.2690318,1731646171.2869363,1731646171.2631438,1731646171.2878606
1731646171.2879965,1731646171.2908404,1731646171.2982502,1731646171.3162816,1731646171.2922904,1731646171.3174584
1731646171.3177433,1731646171.3208494,1731646171.3279881,1731646171.3456354,1731646171.322324,1731646171.347096
1731646171.3473833,1731646171.351178,1731646171.358517,1731646171.3861043,1731646171.3527665,1731646171.38758
1731646171.387875,1731646171.3918622,1731646171.4003053,1731646171.4197283,1731646171.3935063,1731646171.4208946
1731646171.4211626,1731646171.4250717,1731646171.431869,1731646171.4512057,1731646171.426493,1731646171.4519598
1731646171.4521205,1731646171.4552329,1731646171.462077,1731646171.480331,1731646171.4566104,1731646171.4813101
1731646171.4815137,1731646171.4850256,1731646171.4927247,1731646171.5187593,1731646171.4867709,1731646171.5196493
1731646171.5197837,1731646171.5226588,1731646171.5304542,1731646171.549789,1731646171.5242524,1731646171.5511715
1731646171.5513783,1731646171.5547998,1731646171.5624073,1731646171.5818465,1731646171.5563457,1731646171.5830536
1731646171.5832934,1731646171.586656,1731646171.5940046,1731646171.6129096,1731646171.5881183,1731646171.6141772
1731646171.614473,1731646171.6178613,1731646171.6249437,1731646171.644048,1731646171.6193233,1731646171.6448956
1731646171.6450744,1731646171.648614,1731646171.6565027,1731646171.6761029,1731646171.6502397,1731646171.6775372
1731646171.6778462,1731646171.681035,1731646171.6884112,1731646171.7074516,1731646171.6825793,1731646171.7089758
