client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,client_receive_at
1731652368.350854,1731652368.366255,1731652368.3751874,1731652368.3940349,1731652368.3677027,1731652368.3901038
1731652368.3904204,1731652368.3990064,1731652368.4066284,1731652368.4230552,1731652368.4006913,1731652368.4188595
1731652368.4191282,1731652368.4276803,1731652368.435176,1731652368.4514742,1731652368.4293096,1731652368.4466658
1731652368.4467971,1731652368.454953,1731652368.4630475,1731652368.4925935,1731652368.4564962,1731652368.4880738
1731652368.488272,1731652368.4968596,1731652368.5053806,1731652368.5442185,1731652368.4983048,1731652368.539996
1731652368.5402021,1731652368.5489945,1731652368.5570505,1731652368.5916178,1731652368.5506096,1731652368.586839
1731652368.5869787,1731652368.5956407,1731652368.6059408,1731652368.6523492,1731652368.5972767,1731652368.6481667
1731652368.6483345,1731652368.6577978,1731652368.6647718,1731652368.6811392,1731652368.659349,1731652368.676318
1731652368.6764395,1731652368.6843855,1731652368.6909683,1731652368.7061899,1731652368.6857252,1731652368.7013566
1731652368.7015,1731652368.709589,1731652368.7160678,1731652368.7310026,1731652368.7109,1731652368.7261908
1731652368.7263093,1731652368.734609,1731652368.7411096,1731652368.7559357,1731652368.7359087,1731652368.751499
1731652368.751769,1731652368.7600327,1731652368.766997,1731652368.782612,1731652368.7614634,1731652368.7781358
1731652368.7783527,1731652368.7868502,1731652368.7935967,1731652368.808699,1731652368.7884438,1731652368.8039377
1731652368.8041036,1731652368.812519,1731652368.8199265,1731652368.8361988,1731652368.8141923,1731652368.8319733
1731652368.8322747,1731652368.8407524,1731652368.8478477,1731652368.8638933,1731652368.8422818,1731652368.8596306
1731652368.859847,1731652368.8682215,1731652368.875411,1731652368.8929067,1731652368.869802,1731652368.8881884
1731652368.8883362,1731652368.89675,1731652368.904652,1731652368.921174,1731652368.8986151,1731652368.9164472
1731652368.916601,1731652368.9247453,1731652368.93174,1731652368.9473107,1731652368.926319,1731652368.942687
1731652368.9428468,1731652368.9511611,1731652368.958355,1731652368.9740367,1731652368.9527993,1731652368.969496
1731652368.9697354,1731652368.978046,1731652368.9854517,1731652369.0142374,1731652368.97951,1731652369.00948
1731652369.0096638,1731652369.0179183,1731652369.0252056,1731652369.0531669,1731652369.0193224,1731652369.0484633
1731652369.048636,1731652369.0567627,1731652369.063641,1731652369.0791137,1731652369.0581737,1731652369.0743132
1731652369.0744624,1731652369.0825717,1731652369.089267,1731652369.1047592,1731652369.0838826,1731652369.0998797
1731652369.1000197,1731652369.1081326,1731652369.11485,1731652369.1315062,1731652369.1094623,1731652369.1265328
1731652369.126694,1731652369.1345987,1731652369.1413686,1731652369.1576421,1731652369.1359165,1731652369.152806
1731652369.1529422,1731652369.1611369,1731652369.1681197,1731652369.1837568,1731652369.162495,1731652369.1788757
1731652369.1789973,1731652369.1868963,1731652369.1934826,1731652369.20914,1731652369.1882381,1731652369.204194
1731652369.2043238,1731652369.2122808,1731652369.218669,1731652369.234288,1731652369.213594,1731652369.2295952
