model,client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
squeezenet1_1,1731684896.1911051,1731684896.2026231,1731684896.219477,1731684896.240752,1731684896.2031527,1731684896.2407727,1731684896.4942484,1731684896.4956324
squeezenet1_1,1731684896.4958813,1731684896.5015454,1731684896.5078275,1731684896.5240486,1731684896.5019724,1731684896.524065,1731684896.525062,1731684896.5254688
squeezenet1_1,1731684896.5256417,1731684896.5304182,1731684896.536102,1731684896.551364,1731684896.5308194,1731684896.5514028,1731684896.5526023,1731684896.552827
squeezenet1_1,1731684896.5529625,1731684896.5576372,1731684896.5629742,1731684896.578087,1731684896.5579777,1731684896.5781007,1731684896.5790596,1731684896.579277
squeezenet1_1,1731684896.579437,1731684896.5840616,1731684896.5897982,1731684896.6051333,1731684896.5844514,1731684896.605147,1731684896.6062925,1731684896.6065924
squeezenet1_1,1731684896.6067095,1731684896.6111624,1731684896.6166158,1731684896.6322129,1731684896.6115475,1731684896.632225,1731684896.6331549,1731684896.6334531
squeezenet1_1,1731684896.6336153,1731684896.6380615,1731684896.6435432,1731684896.658829,1731684896.6384592,1731684896.6588404,1731684896.659741,1731684896.6599524
squeezenet1_1,1731684896.660074,1731684896.6646328,1731684896.6702173,1731684896.6850128,1731684896.6649692,1731684896.685025,1731684896.6860597,1731684896.68639
squeezenet1_1,1731684896.6865172,1731684896.6909914,1731684896.6967707,1731684896.7113113,1731684896.6913388,1731684896.7113228,1731684896.712321,1731684896.7126262
squeezenet1_1,1731684896.712753,1731684896.717398,1731684896.7230792,1731684896.73799,1731684896.7177424,1731684896.7380018,1731684896.7388172,1731684896.7389767
squeezenet1_1,1731684896.739098,1731684896.7438686,1731684896.7492588,1731684896.763784,1731684896.7442148,1731684896.7637973,1731684896.7646213,1731684896.7647142
squeezenet1_1,1731684896.7648172,1731684896.769529,1731684896.775501,1731684896.7900462,1731684896.7699049,1731684896.7900596,1731684896.7909126,1731684896.791171
squeezenet1_1,1731684896.7912955,1731684896.796011,1731684896.8018682,1731684896.8165874,1731684896.7963607,1731684896.8166003,1731684896.8176665,1731684896.817805
squeezenet1_1,1731684896.8179162,1731684896.8229861,1731684896.8290334,1731684896.844615,1731684896.823444,1731684896.8446305,1731684896.8456447,1731684896.846134
squeezenet1_1,1731684896.8463023,1731684896.8515875,1731684896.8581579,1731684896.884771,1731684896.8520439,1731684896.8847878,1731684896.8857021,1731684896.8861847
squeezenet1_1,1731684896.8863614,1731684896.891472,1731684896.8987079,1731684896.9126885,1731684896.8918967,1731684896.9127028,1731684896.9136145,1731684896.9142396
squeezenet1_1,1731684896.9145994,1731684896.9200728,1731684896.9258778,1731684896.9391785,1731684896.9205217,1731684896.939194,1731684896.940088,1731684896.9407232
squeezenet1_1,1731684896.9409187,1731684896.946046,1731684896.9517424,1731684896.9651787,1731684896.9464839,1731684896.9651928,1731684896.9660194,1731684896.9666383
squeezenet1_1,1731684896.9668128,1731684896.9721687,1731684896.9777882,1731684896.9910765,1731684896.9726193,1731684896.9910924,1731684896.9919934,1731684896.992685
