client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
779346.910244012,0.787,779332.957552383,779332.960607069,779332.976886464,779333.002917673,779333.00294725,779333.095065994,779333.095280988,779347.057090665
779347.057228945,0.787,779333.10113946,779333.103506161,779333.112682665,779333.130478943,779333.130504602,779333.131594261,779333.131730668,779347.09270987
779347.092806782,0.787,779333.136375466,779333.138316056,779333.143757253,779333.160788242,779333.160814992,779333.161713372,779333.161834641,779347.122611013
779347.122696753,0.787,779333.165849243,779333.167692009,779333.173093731,779333.190942018,779333.190969168,779333.191938873,779333.192081932,779347.152805216
779347.152887391,0.787,779333.195946291,779333.198196074,779333.207022769,779333.224917042,779333.224942039,779333.225876577,779333.22601623,779347.186672116
779347.186752136,0.787,779333.229862595,779333.231781205,779333.237147651,779333.254680604,779333.254705941,779333.255567272,779333.255695793,779347.216303952
779347.216369595,0.787,779333.261708234,779333.264073113,779333.270105922,779333.287961682,779333.287985738,779333.289285604,779333.289433632,779347.25036185
779347.250424638,0.787,779333.293709075,779333.295642432,779333.301159341,779333.318909502,779333.318933387,779333.319868436,779333.320018007,779347.280715303
779347.280794652,0.787,779333.324265809,779333.3264356,779333.33197432,779333.348493597,779333.348517622,779333.34941,779333.349552268,779347.310192348
779347.310269503,0.787,779333.353595023,779333.355538279,779333.360908502,779333.377193637,779333.37721583,779333.378109681,779333.378238914,779347.338903233
779347.338979185,0.787,779333.382383451,779333.384458875,779333.390151664,779333.407163768,779333.407187282,779333.40822779,779333.408350611,779347.369119427
779347.369196733,0.787,779333.413036226,779333.415258396,779333.421042868,779333.437564308,779333.437588604,779333.438587563,779333.438712388,779347.39930727
779347.399371511,0.787,779333.442792082,779333.444685294,779333.450042321,779333.466497337,779333.466524208,779333.467444159,779333.46756702,779347.428230844
779347.428309091,0.787,779333.471556434,779333.473466898,779333.479057205,779333.495464741,779333.495488346,779333.497495562,779333.497625166,779347.458343585
779347.458423435,0.787,779333.501974037,779333.504017431,779333.509556902,779333.526484286,779333.526510195,779333.527402313,779333.527547125,779347.488308557
779347.488388086,0.787,779333.531491987,779333.533300378,779333.538628311,779333.55527609,779333.555301307,779333.556313682,779333.556450458,779347.517054868
779347.517132816,0.787,779333.560186387,779333.562038571,779333.567782647,779333.584633648,779333.584657693,779333.585695405,779333.585814088,779347.546458044
779347.546539377,0.787,779333.589749091,779333.591645078,779333.597110309,779333.613789486,779333.613813642,779333.614777024,779333.614899625,779347.57561523
779347.57571645,0.787,779333.618911683,779333.620797509,779333.626314919,779333.642858552,779333.642883078,779333.643853193,779333.643975783,779347.604758597
779347.604837254,0.787,779333.647945772,779333.649800671,779333.655222671,779333.671831766,779333.671858187,779333.672747048,779333.67288068,779347.633720653
779347.633799421,0.787,779333.676933063,779333.678788193,779333.68425126,779333.700759476,779333.700784092,779333.701677132,779333.70180344,779347.662493413
779347.66257116,0.787,779333.705811309,779333.707727785,779333.713468805,779333.729938497,779333.729963826,779333.730903012,779333.731036012,779347.691755555
779347.691832179,0.787,779333.734908607,779333.737183728,779333.745880569,779333.763227001,779333.763252549,779333.764223656,779333.764345545,779347.724994613
779347.725102857,0.787,779333.768373653,779333.770379756,779333.775837874,779333.792236815,779333.792261301,779333.793316876,779333.793583739,779347.754535689
779347.75461044,0.787,779333.797826249,779333.799630053,779333.805131352,779333.8212953,779333.821318855,779333.822460813,779333.822581921,779347.783574881
779347.783683054,0.787,779333.827462402,779333.829386541,779333.83477041,779333.851393691,779333.851437144,779333.852401538,779333.8525357,779347.813150071
779347.813228378,0.787,779333.856267,779333.858050645,779333.863353311,779333.880148556,779333.880174064,779333.881184505,779333.881301105,779347.842078614
779347.842156501,0.787,779333.885086705,779333.886896279,779333.892298192,779333.908638161,779333.908663198,779333.909589982,779333.909707754,779347.870398594
779347.870473596,0.787,779333.913470311,779333.915347613,779333.920814137,779333.93745359,779333.937477805,779333.938432892,779333.938553999,779347.899162539
779347.899239313,0.787,779333.942310186,779333.9441679,779333.949756854,779333.96652519,779333.966551609,779333.967565025,779333.967686865,779347.928400905
779347.928475916,0.787,779333.971450064,779333.973246203,779333.978767009,779333.995461425,779333.995487373,779333.996512973,779333.996631285,779347.957318379
779347.957394191,0.787,779334.000496506,779334.002360634,779334.008185882,779334.024775872,779334.024802943,779334.025845674,779334.025988974,779347.986751371
779347.98681474,0.787,779334.029883391,779334.031757435,779334.037387236,779334.054219161,779334.054246262,779334.055286329,779334.055412777,779348.016159336
779348.016236631,0.787,779334.059186796,779334.061015225,779334.066405736,779334.082781683,779334.082807662,779334.083923321,779334.084060729,779348.044789399
779348.044852487,0.787,779334.08779805,779334.089621902,779334.095394481,779334.112524786,779334.112550165,779334.113601402,779334.11371748,779348.074431102
779348.074508839,0.787,779334.117626043,779334.119539913,779334.125292736,779334.145917065,779334.145957501,779334.147134715,779334.147312961,779348.108178869
779348.108257897,0.787,779334.151602791,779334.15353713,779334.159259285,779334.176433433,779334.176459091,779334.177431551,779334.177545405,779348.138294565
779348.138369796,0.787,779334.181927148,779334.183894909,779334.189280772,779334.205835595,779334.20585441,779334.206679753,779334.207048557,779348.167689264
779348.167766901,0.787,779334.210719702,779334.212485394,779334.217787008,779334.234147936,779334.23416579,779334.23506391,779334.235154761,779348.195849523
779348.195928312,0.787,779334.23939127,779334.241450304,779334.247441965,779334.265063135,779334.265090917,779334.266031066,779334.266154027,779348.226883657
779348.226962766,0.787,779334.269888723,779334.271798325,779334.277351783,779334.29433462,779334.294361051,779334.295316438,779334.295448877,779348.256125711
779348.256202725,0.787,779334.299206426,779334.301063489,779334.306859853,779334.323835679,779334.323861717,779334.32480392,779334.324921381,779348.285704717
779348.28578035,0.787,779334.328862235,779334.330819257,779334.336593279,779334.353794478,779334.353819705,779334.354796092,779334.354912171,779348.315609738
779348.315686522,0.787,779334.358692663,779334.360529568,779334.366189425,779334.383263897,779334.383288533,779334.384277443,779334.384396327,779348.345084178
779348.345163016,0.787,779334.388156921,779334.389945516,779334.39538581,779334.412208938,779334.412233785,779334.413163254,779334.413280745,779348.3740809
779348.374158024,0.787,779334.417071736,779334.418948777,779334.424321896,779334.441485915,779334.441510892,779334.442433638,779334.442548934,779348.403203368
