client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
1133871.535571744,0.787,1133857.58539157,1133857.58760714,1133857.604940053,1133857.632858419,1133857.632893705,1133858.013239818,1133858.013433282,1133871.971653361
1133871.971827149,0.787,1133858.018275797,1133858.019919771,1133858.027401081,1133858.046088333,1133858.046101006,1133858.04724524,1133858.047342173,1133872.004541753
1133872.004630441,0.787,1133858.051579488,1133858.054018698,1133858.062721197,1133858.083202866,1133858.083233383,1133858.084336089,1133858.084547417,1133872.042074088
1133872.042159319,0.787,1133858.088151379,1133858.089740481,1133858.095719824,1133858.115144825,1133858.11516908,1133858.116367786,1133858.116515003,1133872.07393093
1133872.074043393,0.787,1133858.11995624,1133858.121367246,1133858.127148577,1133858.145347409,1133858.145359161,1133858.146380363,1133858.146471695,1133872.103620165
1133872.103701498,0.787,1133858.149467563,1133858.15072511,1133858.156655912,1133858.174284011,1133858.174292407,1133858.175016008,1133858.175084798,1133872.132185454
1133872.132266076,0.787,1133858.178744646,1133858.180486254,1133858.186823171,1133858.20605647,1133858.206085133,1133858.206918222,1133858.207132445,1133872.164655046
1133872.164786755,0.787,1133858.210704878,1133858.212059058,1133858.21751723,1133858.235666359,1133858.235676117,1133858.236550072,1133858.236636575,1133872.1936886
1133872.193810922,0.787,1133858.23944469,1133858.240793889,1133858.24778626,1133858.264088292,1133858.264097028,1133858.26475123,1133858.264816503,1133872.221877658
1133872.221957159,0.787,1133858.267734103,1133858.268906791,1133858.2744695,1133858.291616713,1133858.291624157,1133858.292461393,1133858.292520945,1133872.249521485
1133872.249598411,0.787,1133858.29524379,1133858.296407571,1133858.301840265,1133858.317787239,1133858.317794653,1133858.318513897,1133858.31858495,1133872.275586437
1133872.275668482,0.787,1133858.321164456,1133858.322359845,1133858.327711518,1133858.348045438,1133858.348055447,1133858.349170896,1133858.349246088,1133872.306384949
1133872.30646515,0.787,1133858.353268238,1133858.355244128,1133858.362447976,1133858.381391429,1133858.381422067,1133858.38233211,1133858.382499695,1133872.340029931
1133872.340110945,0.787,1133858.386263089,1133858.387890802,1133858.394641567,1133858.41470036,1133858.414730186,1133858.415561691,1133858.415733675,1133872.373224894
1133872.373303914,0.787,1133858.419371301,1133858.420946717,1133858.427671043,1133858.447442304,1133858.447464255,1133858.448335546,1133858.448486179,1133872.405883042
1133872.405947714,0.787,1133858.451871861,1133858.453340575,1133858.458966614,1133858.475883113,1133858.475892871,1133858.476560739,1133858.476648553,1133872.433718722
1133872.43383941,0.787,1133858.480375709,1133858.482829186,1133858.489104517,1133858.508826256,1133858.508856232,1133858.509676516,1133858.509840865,1133872.467324491
1133872.467405164,0.787,1133858.513637431,1133858.515285052,1133858.521390302,1133858.541163748,1133858.541187924,1133858.541984834,1133858.542156757,1133872.499512589
1133872.499593552,0.787,1133858.545832455,1133858.547806791,1133858.554280044,1133858.592040724,1133858.592079518,1133858.593055965,1133858.593291799,1133872.550992724
1133872.55110694,0.787,1133858.597507643,1133858.599594902,1133858.606207457,1133858.626401595,1133858.626430149,1133858.62732829,1133858.627484764,1133872.584877751
1133872.584957151,0.787,1133858.630980614,1133858.63247718,1133858.638830658,1133858.656821639,1133858.656834012,1133858.65753916,1133858.657639308,1133872.614850812
1133872.614931474,0.787,1133858.660668399,1133858.661987601,1133858.667396121,1133858.684215517,1133858.684225296,1133858.684898964,1133858.684973794,1133872.64214652
1133872.642226872,0.787,1133858.687896275,1133858.689138603,1133858.694448497,1133858.710645662,1133858.710654709,1133858.711403147,1133858.711472939,1133872.668520156
1133872.668598965,0.787,1133858.714373318,1133858.715647396,1133858.720984982,1133858.73792271,1133858.737931937,1133858.738597129,1133858.738665639,1133872.695709673
1133872.695807168,0.787,1133858.741455889,1133858.742727013,1133858.747723486,1133858.763673396,1133858.763681321,1133858.764355769,1133858.764415572,1133872.721456483
1133872.721527266,0.787,1133858.767105856,1133858.768587364,1133858.773618984,1133858.789401809,1133858.789409163,1133858.79002955,1133858.790090866,1133872.747112752
1133872.747193475,0.787,1133858.792817698,1133858.794029008,1133858.799462896,1133858.815284283,1133858.815293931,1133858.815875245,1133858.815938374,1133872.773064821
1133872.773145443,0.787,1133858.818798386,1133858.820012462,1133858.824987916,1133858.843070379,1133858.843078094,1133858.843746251,1133858.843804631,1133872.800847119
1133872.800913063,0.787,1133858.846374849,1133858.847621405,1133858.85255461,1133858.869724365,1133858.869733552,1133858.87032778,1133858.870389477,1133872.827388892
1133872.827469805,0.787,1133858.873225134,1133858.874443056,1133858.879395908,1133858.895535124,1133858.895544682,1133858.896231184,1133858.896295575,1133872.853316424
1133872.853396385,0.787,1133858.899029921,1133858.90026202,1133858.905482947,1133858.922046261,1133858.922055268,1133858.922775804,1133858.922839092,1133872.87989678
1133872.879976711,0.787,1133858.925591683,1133858.926825596,1133858.932102728,1133858.94909563,1133858.949104356,1133858.949762205,1133858.949824773,1133872.906814864
1133872.906880378,0.787,1133858.952440946,1133858.953650553,1133858.958750682,1133858.974942747,1133858.974951124,1133858.975689533,1133858.975751529,1133872.932847735
1133872.932921023,0.787,1133858.979116423,1133858.980679244,1133858.98632454,1133859.003671358,1133859.003695523,1133859.004429215,1133859.004583134,1133872.961949328
1133872.96204037,0.787,1133859.007692196,1133859.00933145,1133859.014420479,1133859.031461923,1133859.031471931,1133859.032257019,1133859.032334284,1133872.989411831
1133872.989491583,0.787,1133859.035196221,1133859.036450091,1133859.04241642,1133859.058718272,1133859.058728952,1133859.059418871,1133859.059489544,1133873.016632479
1133873.016711117,0.787,1133859.063347825,1133859.06510365,1133859.071541517,1133859.090701378,1133859.09072926,1133859.091545797,1133859.091735263,1133873.049196709
1133873.049276369,0.787,1133859.095430298,1133859.097065235,1133859.103124539,1133859.12296944,1133859.122998144,1133859.123891465,1133859.124071805,1133873.081533659
1133873.081613259,0.787,1133859.128122569,1133859.129948235,1133859.136057042,1133859.15563483,1133859.155663704,1133859.156451747,1133859.156627478,1133873.114112235
1133873.114192748,0.787,1133859.160266858,1133859.161887929,1133859.16802534,1133859.186984042,1133859.187028636,1133859.187803285,1133859.187955301,1133873.145369704
1133873.145461037,0.787,1133859.191723593,1133859.193655589,1133859.200502365,1133859.220091735,1133859.220124346,1133859.22105584,1133859.221223325,1133873.178611866
1133873.178692419,0.787,1133859.224767525,1133859.226229005,1133859.231651101,1133859.249436114,1133859.249448748,1133859.25021503,1133859.250311952,1133873.20747055
1133873.207550611,0.787,1133859.253366802,1133859.25467813,1133859.259850665,1133859.276833098,1133859.276842646,1133859.277534398,1133859.277629747,1133873.234706004
1133873.23481963,0.787,1133859.280531078,1133859.282128013,1133859.299221325,1133859.316632004,1133859.316641982,1133859.317450815,1133859.317585448,1133873.274730871
1133873.274828575,0.787,1133859.321456194,1133859.323358073,1133859.329747008,1133859.349471391,1133859.349501327,1133859.350468958,1133859.350654027,1133873.308110622
1133873.308192516,0.787,1133859.354308706,1133859.355911903,1133859.363172699,1133859.387025122,1133859.387058394,1133859.387886162,1133859.388069016,1133873.345470107
