client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
1731651961.3412778,1731651961.3557944,1731651961.3624673,1731651961.3794613,1731651961.356225,1731651961.3794749,1731651961.380769,1731651961.3772814
1731651961.3776145,1731651961.387777,1731651961.3937173,1731651961.4096282,1731651961.3881605,1731651961.4096382,1731651961.4106758,1731651961.406668
1731651961.4068208,1731651961.4163175,1731651961.4220474,1731651961.4375849,1731651961.4166822,1731651961.4375956,1731651961.4385593,1731651961.4343724
1731651961.4345026,1731651961.4436698,1731651961.449403,1731651961.4649856,1731651961.4440255,1731651961.464996,1731651961.4659052,1731651961.4617662
1731651961.4618938,1731651961.4716063,1731651961.4779863,1731651961.4941127,1731651961.4720395,1731651961.4941266,1731651961.4948745,1731651961.4910316
1731651961.4911983,1731651961.500842,1731651961.5067756,1731651961.5234509,1731651961.5012279,1731651961.5234647,1731651961.5248978,1731651961.5208342
1731651961.5209672,1731651961.5306423,1731651961.5366192,1731651961.555133,1731651961.5310214,1731651961.5551448,1731651961.5558636,1731651961.5519114
1731651961.552054,1731651961.5617619,1731651961.5681913,1731651961.59121,1731651961.562258,1731651961.5912304,1731651961.592199,1731651961.5888224
1731651961.5889719,1731651961.5989656,1731651961.6051886,1731651961.6222992,1731651961.599347,1731651961.6223123,1731651961.6231601,1731651961.619181
1731651961.6193259,1731651961.6291451,1731651961.6352499,1731651961.6518006,1731651961.6295547,1731651961.6518126,1731651961.6526778,1731651961.6488793
1731651961.6490142,1731651961.658499,1731651961.6643953,1731651961.682636,1731651961.6588616,1731651961.6826472,1731651961.6834567,1731651961.679464
1731651961.6797848,1731651961.689392,1731651961.6956449,1731651961.712157,1731651961.6897702,1731651961.7121682,1731651961.7130604,1731651961.7091618
1731651961.709332,1731651961.7190843,1731651961.7250628,1731651961.7416384,1731651961.719463,1731651961.7416496,1731651961.745521,1731651961.7415354
1731651961.7417073,1731651961.751262,1731651961.7573245,1731651961.7755563,1731651961.751646,1731651961.7755678,1731651961.7764134,1731651961.772394
1731651961.7725832,1731651961.7822297,1731651961.7880993,1731651961.8106573,1731651961.7826164,1731651961.8106685,1731651961.8115852,1731651961.8077817
1731651961.8079674,1731651961.8178318,1731651961.8242438,1731651961.8421793,1731651961.8182871,1731651961.8421931,1731651961.843099,1731651961.8390994
1731651961.839227,1731651961.8486555,1731651961.854629,1731651961.872705,1731651961.8490415,1731651961.8727174,1731651961.8736477,1731651961.869654
1731651961.8698087,1731651961.8792472,1731651961.8850486,1731651961.90241,1731651961.8796306,1731651961.902447,1731651961.9031613,1731651961.8992085
1731651961.8993652,1731651961.9091702,1731651961.9154193,1731651961.9323869,1731651961.9095957,1731651961.9323995,1731651961.9332001,1731651961.9292278
1731651961.929395,1731651961.9390917,1731651961.9450142,1731651961.9663167,1731651961.9395087,1731651961.9663315,1731651961.9671168,1731651961.9633045
1731651961.963466,1731651961.9731705,1731651961.9802926,1731651962.0029411,1731651961.9736392,1731651962.0029724,1731651962.0039995,1731651962.0000706
1731651962.0002108,1731651962.0098999,1731651962.0158525,1731651962.0379386,1731651962.010301,1731651962.0379508,1731651962.0389028,1731651962.0348544
1731651962.0349982,1731651962.0444746,1731651962.0505185,1731651962.0693977,1731651962.0448449,1731651962.0694098,1731651962.0702806,1731651962.0661435
1731651962.0662708,1731651962.0753329,1731651962.0823917,1731651962.1188524,1731651962.0758114,1731651962.1188633,1731651962.1199944,1731651962.1161497
1731651962.1163042,1731651962.1258602,1731651962.1322064,1731651962.157246,1731651962.1262572,1731651962.1572587,1731651962.1580822,1731651962.154242
1731651962.1544673,1731651962.1641703,1731651962.1713963,1731651962.1977541,1731651962.1645722,1731651962.197765,1731651962.1986907,1731651962.1950562
1731651962.1952827,1731651962.2050636,1731651962.2122145,1731651962.2375183,1731651962.205459,1731651962.2375307,1731651962.238587,1731651962.2348807
1731651962.2351198,1731651962.2449145,1731651962.2529216,1731651962.279105,1731651962.2452955,1731651962.279117,1731651962.2801201,1731651962.2763016
1731651962.2765179,1731651962.2863345,1731651962.294461,1731651962.3191803,1731651962.2867393,1731651962.3191912,1731651962.3201544,1731651962.3163207
1731651962.3165076,1731651962.3263283,1731651962.333267,1731651962.3586483,1731651962.3267152,1731651962.3586588,1731651962.359613,1731651962.3554995
1731651962.3557043,1731651962.3678958,1731651962.378792,1731651962.414507,1731651962.368803,1731651962.4145296,1731651962.4156156,1731651962.4120924
1731651962.4122958,1731651962.422595,1731651962.429934,1731651962.450097,1731651962.4230897,1731651962.4501133,1731651962.4510648,1731651962.44721
1731651962.4473746,1731651962.4573212,1731651962.463941,1731651962.4834788,1731651962.4577794,1731651962.4834948,1731651962.4843745,1731651962.480307
1731651962.4804285,1731651962.490349,1731651962.4974527,1731651962.5219269,1731651962.4908738,1731651962.5219433,1731651962.52285,1731651962.5191312
1731651962.5193112,1731651962.5291963,1731651962.5362656,1731651962.5566025,1731651962.5296624,1731651962.5566175,1731651962.5575597,1731651962.5536313
1731651962.5538023,1731651962.5634856,1731651962.5700035,1731651962.589988,1731651962.5639122,1731651962.5900054,1731651962.590852,1731651962.587047
1731651962.5871925,1731651962.5965683,1731651962.6025314,1731651962.6218944,1731651962.596945,1731651962.6219113,1731651962.6229868,1731651962.6190903
1731651962.61923,1731651962.628907,1731651962.6361666,1731651962.6632798,1731651962.6293244,1731651962.6632953,1731651962.664241,1731651962.6605334
1731651962.660853,1731651962.6707864,1731651962.6782534,1731651962.699731,1731651962.6712208,1731651962.6997433,1731651962.7008789,1731651962.697054
1731651962.6972091,1731651962.7066798,1731651962.7126596,1731651962.7312772,1731651962.7070549,1731651962.7312894,1731651962.7322755,1731651962.728439
1731651962.728731,1731651962.738314,1731651962.7443254,1731651962.765031,1731651962.7386901,1731651962.7650442,1731651962.7660244,1731651962.762475
1731651962.7627327,1731651962.772545,1731651962.7786698,1731651962.8032153,1731651962.772914,1731651962.803228,1731651962.8043418,1731651962.8006563
1731651962.8008146,1731651962.8106725,1731651962.8185394,1731651962.8449159,1731651962.8110774,1731651962.8449316,1731651962.845837,1731651962.8421607
1731651962.8423316,1731651962.8526187,1731651962.8595388,1731651962.885489,1731651962.8530385,1731651962.8855016,1731651962.8864677,1731651962.882505
1731651962.8827446,1731651962.8923209,1731651962.9002895,1731651962.921592,1731651962.8927293,1731651962.9216049,1731651962.922491,1731651962.91873
1731651962.9189098,1731651962.9285269,1731651962.9346747,1731651962.9532142,1731651962.928891,1731651962.9532263,1731651962.9543843,1731651962.950377
1731651962.9505014,1731651962.959644,1731651962.9666092,1731651962.9875255,1731651962.9600134,1731651962.9875357,1731651962.9884005,1731651962.9845135
1731651962.984791,1731651962.994309,1731651963.000537,1731651963.0241828,1731651962.9946856,1731651963.0241945,1731651963.0251458,1731651963.0214756
1731651963.0217705,1731651963.031906,1731651963.0402453,1731651963.0594795,1731651963.0322905,1731651963.0594933,1731651963.0605083,1731651963.0564103
1731651963.056573,1731651963.0670679,1731651963.0741124,1731651963.0939655,1731651963.067616,1731651963.0939867,1731651963.095078,1731651963.091143
1731651963.0912647,1731651963.1014645,1731651963.108014,1731651963.12908,1731651963.1018727,1731651963.129096,1731651963.1300373,1731651963.1260488
