client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
1731647705.1389785,1731647705.1521943,1731647705.1596699,1731647705.1835868,1731647705.1528091,1731647705.1836095,1731647705.1859891,1731647705.1832078
1731647705.1834373,1731647705.1932912,1731647705.2012715,1731647705.231312,1731647705.1938798,1731647705.2313383,1731647705.2325819,1731647705.2299287
1731647705.2300591,1731647705.2395704,1731647705.2472649,1731647705.2682722,1731647705.2401047,1731647705.2682924,1731647705.2695296,1731647705.2666588
1731647705.2667844,1731647705.2760503,1731647705.283597,1731647705.3047583,1731647705.2765949,1731647705.3047774,1731647705.3060253,1731647705.3032377
1731647705.3033493,1731647705.312717,1731647705.3201644,1731647705.3414183,1731647705.3133159,1731647705.341463,1731647705.3425915,1731647705.339619
1731647705.3397455,1731647705.3494089,1731647705.3571415,1731647705.3778288,1731647705.349976,1731647705.3778572,1731647705.3790848,1731647705.3763614
1731647705.3764877,1731647705.386349,1731647705.3938372,1731647705.4158475,1731647705.3869686,1731647705.4158745,1731647705.4170206,1731647705.414283
1731647705.4144492,1731647705.4245949,1731647705.43248,1731647705.4554665,1731647705.4251814,1731647705.4554932,1731647705.4567242,1731647705.4538436
1731647705.4539661,1731647705.4637926,1731647705.4718075,1731647705.493835,1731647705.4643548,1731647705.4938595,1731647705.495014,1731647705.4920719
1731647705.4921863,1731647705.501816,1731647705.5094855,1731647705.5327654,1731647705.5023935,1731647705.5327938,1731647705.5343857,1731647705.531449
1731647705.5316021,1731647705.5410216,1731647705.5489306,1731647705.5713198,1731647705.5416312,1731647705.5713449,1731647705.5723648,1731647705.5693986
1731647705.5695214,1731647705.5790944,1731647705.5873575,1731647705.6098216,1731647705.5797834,1731647705.6098495,1731647705.611004,1731647705.6081738
1731647705.6082962,1731647705.6185052,1731647705.6268117,1731647705.6528943,1731647705.6190944,1731647705.6529229,1731647705.6540525,1731647705.651214
1731647705.6513338,1731647705.6606853,1731647705.6677456,1731647705.6880753,1731647705.6611657,1731647705.6881068,1731647705.6891344,1731647705.68625
1731647705.6863873,1731647705.6958015,1731647705.7028499,1731647705.7237275,1731647705.6963396,1731647705.7237527,1731647705.7248197,1731647705.7220433
1731647705.7221484,1731647705.7308564,1731647705.738563,1731647705.759456,1731647705.7313387,1731647705.7594793,1731647705.7606397,1731647705.7576537
1731647705.757769,1731647705.766594,1731647705.773272,1731647705.7937424,1731647705.7670746,1731647705.7937655,1731647705.794802,1731647705.7919102
1731647705.7920308,1731647705.8010602,1731647705.8078847,1731647705.8286023,1731647705.801563,1731647705.828624,1731647705.8297772,1731647705.8267648
1731647705.8268862,1731647705.8356762,1731647705.8428702,1731647705.8636346,1731647705.83612,1731647705.863655,1731647705.8645346,1731647705.8614032
1731647705.8615253,1731647705.8703606,1731647705.8797133,1731647705.8993676,1731647705.8708272,1731647705.899385,1731647705.9004164,1731647705.8974035
1731647705.897502,1731647705.9060824,1731647705.9123476,1731647705.932105,1731647705.9065287,1731647705.9321158,1731647705.9333208,1731647705.9304376
1731647705.9305673,1731647705.9387786,1731647705.9461198,1731647705.9694595,1731647705.9391298,1731647705.9694715,1731647705.9704905,1731647705.9672494
1731647705.9674058,1731647705.9754858,1731647705.9819577,1731647706.0015523,1731647705.9758282,1731647706.001563,1731647706.0024898,1731647705.999154
1731647705.999255,1731647706.007188,1731647706.0135612,1731647706.0325868,1731647706.0075676,1731647706.0325973,1731647706.0335693,1731647706.030106
1731647706.030207,1731647706.038327,1731647706.0446856,1731647706.0643907,1731647706.0386782,1731647706.064401,1731647706.065199,1731647706.0617588
1731647706.0618808,1731647706.0702627,1731647706.076556,1731647706.0958803,1731647706.070632,1731647706.0958924,1731647706.096823,1731647706.0934925
1731647706.0936425,1731647706.1034994,1731647706.111713,1731647706.1343887,1731647706.1040678,1731647706.1344087,1731647706.1354573,1731647706.13251
1731647706.132662,1731647706.1417694,1731647706.1487422,1731647706.1679964,1731647706.142175,1731647706.1680114,1731647706.168962,1731647706.1657689
1731647706.1658905,1731647706.1747103,1731647706.1809926,1731647706.1999402,1731647706.1751602,1731647706.1999528,1731647706.20109,1731647706.1979222
1731647706.19803,1731647706.2064636,1731647706.2128875,1731647706.2315683,1731647706.2068405,1731647706.231582,1731647706.232628,1731647706.2291763
1731647706.2292979,1731647706.238088,1731647706.2444823,1731647706.2632928,1731647706.238502,1731647706.2633178,1731647706.2641237,1731647706.2608976
1731647706.261022,1731647706.269412,1731647706.27574,1731647706.2940552,1731647706.2697937,1731647706.2940664,1731647706.2948787,1731647706.2916613
1731647706.2917752,1731647706.30229,1731647706.3099792,1731647706.3436751,1731647706.3028903,1731647706.343695,1731647706.3445466,1731647706.3413625
1731647706.3415153,1731647706.3507655,1731647706.3570995,1731647706.376715,1731647706.351199,1731647706.3767283,1731647706.3784919,1731647706.375235
1731647706.3753495,1731647706.3840177,1731647706.3902907,1731647706.4095469,1731647706.3844154,1731647706.409566,1731647706.410543,1731647706.4072886
1731647706.4074175,1731647706.4165432,1731647706.4236054,1731647706.4447267,1731647706.4170187,1731647706.4447453,1731647706.4456565,1731647706.4426215
1731647706.4427462,1731647706.4514139,1731647706.4585705,1731647706.4783328,1731647706.4518635,1731647706.4783437,1731647706.4794438,1731647706.4764042
1731647706.4765205,1731647706.4852374,1731647706.491506,1731647706.5127406,1731647706.4856625,1731647706.512753,1731647706.5137212,1731647706.5104454
1731647706.5105953,1731647706.519483,1731647706.525838,1731647706.5465987,1731647706.5198894,1731647706.5466099,1731647706.547649,1731647706.54422
1731647706.5443366,1731647706.5534728,1731647706.5607553,1731647706.5836904,1731647706.5539267,1731647706.5837076,1731647706.5846055,1731647706.5814822
1731647706.5816376,1731647706.5913618,1731647706.5997033,1731647706.623925,1731647706.5919785,1731647706.6239429,1731647706.624804,1731647706.6218183
1731647706.6219175,1731647706.6311789,1731647706.6386,1731647706.666931,1731647706.6316884,1731647706.6669474,1731647706.668025,1731647706.66486
1731647706.6649585,1731647706.6748695,1731647706.6831608,1731647706.7105308,1731647706.6755323,1731647706.7105637,1731647706.7116058,1731647706.7089381
1731647706.7090385,1731647706.7180886,1731647706.7255452,1731647706.7476263,1731647706.7185519,1731647706.7476404,1731647706.7488642,1731647706.7458677
1731647706.7459948,1731647706.7561688,1731647706.7645247,1731647706.7878745,1731647706.7568398,1731647706.7879043,1731647706.788968,1731647706.7862024
1731647706.786327,1731647706.796061,1731647706.8041556,1731647706.8280602,1731647706.7967095,1731647706.8280914,1731647706.8290706,1731647706.8262455
1731647706.8263805,1731647706.8356662,1731647706.844237,1731647706.8680804,1731647706.836215,1731647706.8681083,1731647706.8691926,1731647706.8665726
1731647706.8666778,1731647706.875659,1731647706.8838665,1731647706.905622,1731647706.8761961,1731647706.905636,1731647706.906597,1731647706.9033124
1731647706.9034328,1731647706.9122407,1731647706.9191954,1731647706.951927,1731647706.9127352,1731647706.9519508,1731647706.952899,1731647706.950121
1731647706.9502451,1731647706.959042,1731647706.9654174,1731647706.9856722,1731647706.9595082,1731647706.9856844,1731647706.9866784,1731647706.983492
1731647706.9836164,1731647706.9925845,1731647707.0002513,1731647707.0219538,1731647706.9930665,1731647707.0219672,1731647707.0229928,1731647707.0198777
1731647707.019991,1731647707.0289342,1731647707.0358033,1731647707.0563595,1731647707.0293715,1731647707.0563743,1731647707.0574462,1731647707.054263
1731647707.0544455,1731647707.0628955,1731647707.0695703,1731647707.099244,1731647707.0632806,1731647707.0992568,1731647707.1001015,1731647707.0969443
1731647707.0970643,1731647707.1054869,1731647707.1122925,1731647707.1326673,1731647707.105858,1731647707.1326795,1731647707.1336384,1731647707.1302764
1731647707.130464,1731647707.1388412,1731647707.144843,1731647707.1747332,1731647707.1392064,1731647707.174745,1731647707.1756382,1731647707.1722867
1731647707.1724272,1731647707.1808436,1731647707.186922,1731647707.2055542,1731647707.1812277,1731647707.2055666,1731647707.2064674,1731647707.203173
1731647707.203296,1731647707.212003,1731647707.2184722,1731647707.2375238,1731647707.2123966,1731647707.2375374,1731647707.2385883,1731647707.2354703
1731647707.2356055,1731647707.2443626,1731647707.251242,1731647707.2737985,1731647707.244777,1731647707.2738094,1731647707.274778,1731647707.2718356
1731647707.2719567,1731647707.280622,1731647707.286395,1731647707.3062458,1731647707.280998,1731647707.3062625,1731647707.3074968,1731647707.304629
1731647707.3047426,1731647707.3137822,1731647707.3204153,1731647707.3396978,1731647707.3144903,1731647707.339709,1731647707.3410575,1731647707.3381128
1731647707.3382115,1731647707.3467753,1731647707.3526623,1731647707.3694518,1731647707.3471534,1731647707.3694632,1731647707.3706207,1731647707.3672867
1731647707.3674226,1731647707.3759966,1731647707.3826187,1731647707.4115975,1731647707.3763685,1731647707.4116108,1731647707.4123788,1731647707.4091256
1731647707.4092476,1731647707.4181492,1731647707.4239793,1731647707.4407454,1731647707.4185677,1731647707.4407568,1731647707.4415758,1731647707.4383495
1731647707.4384584,1731647707.449411,1731647707.4571888,1731647707.478752,1731647707.4500296,1731647707.4787824,1731647707.4798005,1731647707.4770846
1731647707.4772062,1731647707.4869475,1731647707.4939153,1731647707.5138457,1731647707.487597,1731647707.51386,1731647707.5150466,1731647707.5119689
1731647707.512089,1731647707.520919,1731647707.5271478,1731647707.5484176,1731647707.5213575,1731647707.5484486,1731647707.5497935,1731647707.5464878
1731647707.5466206,1731647707.554771,1731647707.5603645,1731647707.576063,1731647707.5551436,1731647707.5760741,1731647707.5768209,1731647707.5734622
1731647707.5736136,1731647707.581754,1731647707.5876398,1731647707.6054811,1731647707.5821607,1731647707.605493,1731647707.606337,1731647707.6030967
1731647707.6032176,1731647707.612469,1731647707.6189332,1731647707.6381497,1731647707.612935,1731647707.6381726,1731647707.639292,1731647707.6367402
1731647707.6368392,1731647707.6488688,1731647707.6593554,1731647707.682111,1731647707.6498501,1731647707.682138,1731647707.6831934,1731647707.6803195
