model,client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
mobilenet_v3_small,1731689248.3915334,1731689248.4046903,1731689248.4112046,1731689248.427711,1731689248.4051359,1731689248.4277272,1731689248.4295797,1731689248.4257889
mobilenet_v3_small,1731689248.4261816,1731689248.4361756,1731689248.4418643,1731689248.4571936,1731689248.436612,1731689248.45721,1731689248.458125,1731689248.454365
mobilenet_v3_small,1731689248.4546816,1731689248.4643178,1731689248.4701807,1731689248.4853363,1731689248.4647224,1731689248.485353,1731689248.486512,1731689248.4828806
mobilenet_v3_small,1731689248.4832015,1731689248.4928424,1731689248.4985704,1731689248.5238957,1731689248.4932332,1731689248.5239134,1731689248.5248017,1731689248.5208848
mobilenet_v3_small,1731689248.5211596,1731689248.530903,1731689248.53727,1731689248.5707567,1731689248.5312967,1731689248.5707743,1731689248.5716746,1731689248.567817
mobilenet_v3_small,1731689248.568012,1731689248.5781057,1731689248.5842333,1731689248.6119041,1731689248.5785491,1731689248.6119223,1731689248.6129718,1731689248.6091378
mobilenet_v3_small,1731689248.6094246,1731689248.61954,1731689248.6257236,1731689248.6516638,1731689248.6199365,1731689248.6516824,1731689248.6526577,1731689248.6487947
mobilenet_v3_small,1731689248.6489756,1731689248.6588347,1731689248.6646755,1731689248.6936076,1731689248.6592412,1731689248.6936238,1731689248.6942961,1731689248.690439
mobilenet_v3_small,1731689248.6907783,1731689248.7003493,1731689248.7069573,1731689248.7388248,1731689248.7007773,1731689248.7388427,1731689248.7406762,1731689248.736746
mobilenet_v3_small,1731689248.736939,1731689248.746836,1731689248.7531707,1731689248.7848706,1731689248.747239,1731689248.7848878,1731689248.7857773,1731689248.7817786
mobilenet_v3_small,1731689248.7819643,1731689248.7921162,1731689248.7981107,1731689248.8249032,1731689248.7925382,1731689248.8249197,1731689248.825714,1731689248.8217804
mobilenet_v3_small,1731689248.8220415,1731689248.8321638,1731689248.837947,1731689248.8531728,1731689248.8325863,1731689248.8531885,1731689248.8542144,1731689248.8502479
mobilenet_v3_small,1731689248.8504722,1731689248.860006,1731689248.865885,1731689248.8812847,1731689248.8603961,1731689248.8812993,1731689248.882123,1731689248.8779845
mobilenet_v3_small,1731689248.8782296,1731689248.8876934,1731689248.8933847,1731689248.9089828,1731689248.8880801,1731689248.9089978,1731689248.909736,1731689248.9056938
mobilenet_v3_small,1731689248.905966,1731689248.915656,1731689248.921847,1731689248.949033,1731689248.916032,1731689248.949051,1731689248.9498873,1731689248.9458392
mobilenet_v3_small,1731689248.9460354,1731689248.9558616,1731689248.9617553,1731689248.980346,1731689248.956273,1731689248.9803624,1731689248.981318,1731689248.977309
mobilenet_v3_small,1731689248.9774911,1731689248.9872677,1731689248.9934008,1731689249.011493,1731689248.9877086,1731689249.0115082,1731689249.012413,1731689249.008404
mobilenet_v3_small,1731689249.0086775,1731689249.0182924,1731689249.0243983,1731689249.0424514,1731689249.0187285,1731689249.0424683,1731689249.043406,1731689249.039329
