client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
1134343.790093265,0.787,1134329.83861116,1134329.841216004,1134329.855867926,1134329.881961918,1134329.881992896,1134330.436600531,1134330.4368706,1134344.399106833
1134344.399240915,0.787,1134330.443060642,1134330.445162349,1134330.452419851,1134330.472500262,1134330.472516764,1134330.475550654,1134330.475679196,1134344.436920056
1134344.437101258,0.787,1134330.480670854,1134330.482886845,1134330.489251807,1134330.515701018,1134330.515731355,1134330.516596644,1134330.516766073,1134344.478372619
1134344.478502844,0.787,1134330.521328471,1134330.523179496,1134330.529029328,1134330.548250301,1134330.548266331,1134330.549102887,1134330.549204948,1134344.510356951
1134344.510487538,0.787,1134330.553038375,1134330.554809148,1134330.560487628,1134330.579948533,1134330.579961738,1134330.580837837,1134330.580927355,1134344.54197871
1134344.542164591,0.787,1134330.584997237,1134330.586775444,1134330.592110918,1134330.611688363,1134330.611700395,1134330.612511602,1134330.612592094,1134344.573697342
1134344.573842055,0.787,1134330.61655793,1134330.618415747,1134330.623882679,1134330.641586977,1134330.641598569,1134330.64244931,1134330.642530313,1134344.603415583
1134344.603523596,0.787,1134330.646712856,1134330.649022985,1134330.656194986,1134330.674778981,1134330.67481074,1134330.67573479,1134330.675898518,1134344.637077989
1134344.637159824,0.787,1134330.679746301,1134330.681658171,1134330.688494149,1134330.707269484,1134330.707298578,1134330.708119453,1134330.708271249,1134344.669325027
1134344.669407082,0.787,1134330.712028333,1134330.713898463,1134330.720389952,1134330.739440776,1134330.739471885,1134330.740476365,1134330.740647617,1134344.701783534
1134344.70186632,0.787,1134330.744573779,1134330.746740137,1134330.754353859,1134330.77405676,1134330.774089171,1134330.774976812,1134330.775152753,1134344.736245718
1134344.736317454,0.787,1134330.778949421,1134330.781115769,1134330.787513773,1134330.806469827,1134330.806498792,1134330.807380331,1134330.807547426,1134344.768752937
1134344.768866341,0.787,1134330.811725602,1134330.813924721,1134330.820172532,1134330.838942206,1134330.838974146,1134330.840298539,1134330.840482847,1134344.801510587
1134344.801606208,0.787,1134330.844346049,1134330.846292954,1134330.852415419,1134330.871265004,1134330.871293748,1134330.872135592,1134330.87228294,1134344.83335736
1134344.833435277,0.787,1134330.876021609,1134330.878019269,1134330.884614845,1134330.903219388,1134330.903251168,1134330.904127908,1134330.904278602,1134344.865410103
1134344.86550961,0.787,1134330.908115294,1134330.909966539,1134330.916599275,1134330.936148437,1134330.936178854,1134330.937121929,1134330.93727693,1134344.898349496
1134344.898445567,0.787,1134330.941249289,1134330.94316775,1134330.949716078,1134330.969149531,1134330.96918074,1134330.970239182,1134330.9704133,1134344.931442328
1134344.931541986,0.787,1134330.974504882,1134330.976393267,1134330.982541,1134331.001320342,1134331.001350949,1134331.002340913,1134331.002515642,1134344.963530246
1134344.963625285,0.787,1134331.00613218,1134331.008021947,1134331.015276605,1134331.035352968,1134331.035399406,1134331.036278881,1134331.03649097,1134344.99745619
1134344.997537593,0.787,1134331.04023592,1134331.042220316,1134331.049594698,1134331.068681118,1134331.068711906,1134331.069552699,1134331.069708592,1134345.030693126
1134345.03078059,0.787,1134331.073599808,1134331.075617706,1134331.083060297,1134331.101900994,1134331.101931792,1134331.102811929,1134331.102965538,1134345.064060165
1134345.06414259,0.787,1134331.10669586,1134331.108599424,1134331.114715197,1134331.133482957,1134331.133512362,1134331.134789437,1134331.134949518,1134345.096070356
1134345.096160997,0.787,1134331.138765922,1134331.14066677,1134331.146770771,1134331.166577427,1134331.166608255,1134331.169609354,1134331.169790757,1134345.131065185
1134345.131146577,0.787,1134331.173977978,1134331.176315129,1134331.182664591,1134331.20210669,1134331.202138751,1134331.203051469,1134331.203208615,1134345.164331194
1134345.164422887,0.787,1134331.207333971,1134331.209435807,1134331.216046703,1134331.235244352,1134331.235274218,1134331.236150799,1134331.236311641,1134345.197372289
1134345.197448742,0.787,1134331.24026853,1134331.242255751,1134331.248588222,1134331.267740506,1134331.267770422,1134331.268688721,1134331.268843392,1134345.229911617
1134345.230048285,0.787,1134331.272660458,1134331.274655553,1134331.280918213,1134331.299109477,1134331.299139925,1134331.300077851,1134331.300233093,1134345.261257847
1134345.261329662,0.787,1134331.303839552,1134331.305724741,1134331.313259114,1134331.331750123,1134331.331781132,1134331.332664835,1134331.332818785,1134345.29388458
1134345.293971945,0.787,1134331.336749284,1134331.338714684,1134331.346038181,1134331.36428482,1134331.364313644,1134331.365212256,1134331.365382266,1134345.326455609
1134345.326547873,0.787,1134331.369255878,1134331.371074921,1134331.378634663,1134331.397502892,1134331.397534552,1134331.398378621,1134331.398530637,1134345.35957408
1134345.359663398,0.787,1134331.402340649,1134331.404214767,1134331.411990055,1134331.430596641,1134331.430626608,1134331.431521442,1134331.431673879,1134345.392743577
1134345.392836201,0.787,1134331.435547721,1134331.437517339,1134331.443463834,1134331.462228598,1134331.462257122,1134331.463231977,1134331.463401086,1134345.424385964
1134345.42447356,0.787,1134331.467061205,1134331.469179513,1134331.476449709,1134331.495255752,1134331.495284656,1134331.49837853,1134331.49850601,1134345.459525436
