timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1732821021435,80,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,76,UTF-8,1,0,ckn-instance-2,0,33
1732821021517,29,REST,200,OK,Flask 1-1,text,true,,405,132809,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,0
1732821021547,30,REST,200,OK,Flask 1-1,text,true,,406,132879,1,1,http://149.165.174.52:8080/predict,,30,UTF-8,1,0,ckn-instance-2,0,0
1732821021578,30,REST,200,OK,Flask 1-1,text,true,,406,132809,1,1,http://149.165.174.52:8080/predict,,30,UTF-8,1,0,ckn-instance-2,0,0
1732821021609,27,REST,200,OK,Flask 1-1,text,true,,405,132819,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821021637,26,REST,200,OK,Flask 1-1,text,true,,407,132839,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821021664,28,REST,200,OK,Flask 1-1,text,true,,406,132859,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821021692,29,REST,200,OK,Flask 1-1,text,true,,407,132869,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,0
1732821021722,28,REST,200,OK,Flask 1-1,text,true,,407,132799,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821021751,29,REST,200,OK,Flask 1-1,text,true,,407,132879,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,0
1732821021781,29,REST,200,OK,Flask 1-1,text,true,,406,132869,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,0
1732821021811,28,REST,200,OK,Flask 1-1,text,true,,407,132829,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821021840,29,REST,200,OK,Flask 1-1,text,true,,407,132859,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,0
1732821021870,28,REST,200,OK,Flask 1-1,text,true,,406,132869,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821021898,34,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,34,UTF-8,1,0,ckn-instance-2,0,0
1732821021932,32,REST,200,OK,Flask 1-1,text,true,,407,132839,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821021965,38,REST,200,OK,Flask 1-1,text,true,,406,132889,1,1,http://149.165.174.52:8080/predict,,37,UTF-8,1,0,ckn-instance-2,0,0
1732821022003,32,REST,200,OK,Flask 1-1,text,true,,406,132889,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821022036,31,REST,200,OK,Flask 1-1,text,true,,407,132899,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022068,30,REST,200,OK,Flask 1-1,text,true,,406,132889,1,1,http://149.165.174.52:8080/predict,,30,UTF-8,1,0,ckn-instance-2,0,0
1732821022099,31,REST,200,OK,Flask 1-1,text,true,,407,132839,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022130,31,REST,200,OK,Flask 1-1,text,true,,407,132859,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022162,32,REST,200,OK,Flask 1-1,text,true,,407,132869,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821022194,31,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022226,31,REST,200,OK,Flask 1-1,text,true,,406,132869,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022258,31,REST,200,OK,Flask 1-1,text,true,,403,132839,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022290,32,REST,200,OK,Flask 1-1,text,true,,406,132889,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821022323,31,REST,200,OK,Flask 1-1,text,true,,406,132839,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022354,32,REST,200,OK,Flask 1-1,text,true,,406,132899,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821022386,32,REST,200,OK,Flask 1-1,text,true,,406,132879,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821022418,32,REST,200,OK,Flask 1-1,text,true,,406,132849,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821022451,31,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022483,31,REST,200,OK,Flask 1-1,text,true,,404,132849,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022515,32,REST,200,OK,Flask 1-1,text,true,,407,132849,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821022547,32,REST,200,OK,Flask 1-1,text,true,,407,132839,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821022580,31,REST,200,OK,Flask 1-1,text,true,,407,132889,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022612,32,REST,200,OK,Flask 1-1,text,true,,407,132859,1,1,http://149.165.174.52:8080/predict,,31,UTF-8,1,0,ckn-instance-2,0,0
1732821022644,32,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821022677,30,REST,200,OK,Flask 1-1,text,true,,405,132859,1,1,http://149.165.174.52:8080/predict,,30,UTF-8,1,0,ckn-instance-2,0,0
1732821022707,29,REST,200,OK,Flask 1-1,text,true,,406,132899,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,0
1732821022737,28,REST,200,OK,Flask 1-1,text,true,,404,132819,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821022766,29,REST,200,OK,Flask 1-1,text,true,,406,132799,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,0
1732821022796,27,REST,200,OK,Flask 1-1,text,true,,407,132879,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821022823,30,REST,200,OK,Flask 1-1,text,true,,407,132849,1,1,http://149.165.174.52:8080/predict,,30,UTF-8,1,0,ckn-instance-2,0,0
1732821022854,28,REST,200,OK,Flask 1-1,text,true,,407,132799,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821022882,28,REST,200,OK,Flask 1-1,text,true,,405,132839,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821022911,27,REST,200,OK,Flask 1-1,text,true,,406,132869,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821022939,26,REST,200,OK,Flask 1-1,text,true,,405,132899,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821022966,25,REST,200,OK,Flask 1-1,text,true,,407,132899,1,1,http://149.165.174.52:8080/predict,,25,UTF-8,1,0,ckn-instance-2,0,0
1732821022992,29,REST,200,OK,Flask 1-1,text,true,,404,132819,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,0
1732821023022,30,REST,200,OK,Flask 1-1,text,true,,407,132819,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,0
1732821023052,32,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,32,UTF-8,1,0,ckn-instance-2,0,0
1732821023084,29,REST,200,OK,Flask 1-1,text,true,,407,132859,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821023113,27,REST,200,OK,Flask 1-1,text,true,,406,132799,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023140,27,REST,200,OK,Flask 1-1,text,true,,407,132869,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023167,28,REST,200,OK,Flask 1-1,text,true,,405,132809,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821023196,27,REST,200,OK,Flask 1-1,text,true,,406,132899,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023224,27,REST,200,OK,Flask 1-1,text,true,,406,132869,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023251,28,REST,200,OK,Flask 1-1,text,true,,407,132889,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821023280,27,REST,200,OK,Flask 1-1,text,true,,406,132849,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023307,28,REST,200,OK,Flask 1-1,text,true,,405,132849,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821023335,29,REST,200,OK,Flask 1-1,text,true,,406,132889,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,0
1732821023364,28,REST,200,OK,Flask 1-1,text,true,,406,132799,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821023396,28,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821023425,27,REST,200,OK,Flask 1-1,text,true,,407,132889,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023453,26,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023480,26,REST,200,OK,Flask 1-1,text,true,,407,132839,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023506,27,REST,200,OK,Flask 1-1,text,true,,404,132809,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023533,26,REST,200,OK,Flask 1-1,text,true,,407,132899,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023560,26,REST,200,OK,Flask 1-1,text,true,,406,132829,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023587,26,REST,200,OK,Flask 1-1,text,true,,407,132899,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023613,26,REST,200,OK,Flask 1-1,text,true,,407,132819,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023640,26,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023666,27,REST,200,OK,Flask 1-1,text,true,,406,132869,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023693,26,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023720,26,REST,200,OK,Flask 1-1,text,true,,407,132879,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821023746,28,REST,200,OK,Flask 1-1,text,true,,406,132829,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821023774,27,REST,200,OK,Flask 1-1,text,true,,406,132849,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023801,28,REST,200,OK,Flask 1-1,text,true,,407,132839,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821023829,27,REST,200,OK,Flask 1-1,text,true,,407,132839,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023856,27,REST,200,OK,Flask 1-1,text,true,,407,132839,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023884,28,REST,200,OK,Flask 1-1,text,true,,406,132899,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821023912,28,REST,200,OK,Flask 1-1,text,true,,405,132829,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821023940,27,REST,200,OK,Flask 1-1,text,true,,406,132819,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023967,27,REST,200,OK,Flask 1-1,text,true,,406,132869,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821023995,28,REST,200,OK,Flask 1-1,text,true,,406,132859,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821024023,27,REST,200,OK,Flask 1-1,text,true,,407,132879,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024050,27,REST,200,OK,Flask 1-1,text,true,,406,132829,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024078,27,REST,200,OK,Flask 1-1,text,true,,406,132899,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024105,28,REST,200,OK,Flask 1-1,text,true,,406,132879,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,0
1732821024133,26,REST,200,OK,Flask 1-1,text,true,,406,132799,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821024160,26,REST,200,OK,Flask 1-1,text,true,,407,132889,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821024187,27,REST,200,OK,Flask 1-1,text,true,,407,132829,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024214,27,REST,200,OK,Flask 1-1,text,true,,407,132849,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024241,27,REST,200,OK,Flask 1-1,text,true,,407,132899,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024268,27,REST,200,OK,Flask 1-1,text,true,,407,132849,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024295,26,REST,200,OK,Flask 1-1,text,true,,407,132859,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821024321,27,REST,200,OK,Flask 1-1,text,true,,406,132839,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024348,27,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024375,26,REST,200,OK,Flask 1-1,text,true,,405,132859,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821024401,27,REST,200,OK,Flask 1-1,text,true,,407,132869,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024428,26,REST,200,OK,Flask 1-1,text,true,,405,132879,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821024454,27,REST,200,OK,Flask 1-1,text,true,,406,132819,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024482,30,REST,200,OK,Flask 1-1,text,true,,407,132899,1,1,http://149.165.174.52:8080/predict,,30,UTF-8,1,0,ckn-instance-2,0,0
1732821024512,27,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,0
1732821024540,25,REST,200,OK,Flask 1-1,text,true,,406,132899,1,1,http://149.165.174.52:8080/predict,,25,UTF-8,1,0,ckn-instance-2,0,0
1732821024566,26,REST,200,OK,Flask 1-1,text,true,,407,132809,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
1732821024593,26,REST,200,OK,Flask 1-1,text,true,,405,132839,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,0
