client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
625235.781244513,0.0018980720285326214,625221.76996386,625221.772296629,625221.779416124,625221.796713632,625221.796745731,625221.798323747,625221.798481092,625235.817642585
625235.817780985,0.001044755000621081,625221.804521726,625221.80657385,625221.812369374,625221.829318629,625221.829342274,625221.830705257,625221.830821154,625235.84945074
625235.849659453,0.0009090009651556603,625221.835753712,625221.837748969,625221.843453464,625221.860378675,625221.860405695,625221.86220189,625221.862336151,625235.880837454
625235.880964293,0.0009317609841153034,625221.867215129,625221.869360597,625221.87507465,625221.892151384,625221.892176701,625221.893566865,625221.893717197,625235.912212054
625235.912346647,0.0008825080162882804,625221.898611023,625221.900687893,625221.906332294,625221.92318531,625221.923211359,625221.924515452,625221.924667816,625235.943258155
625235.943401275,0.0009619790381044172,625221.929882494,625221.932145803,625221.93817766,625221.955852024,625221.955881669,625221.957165894,625221.957304975,625235.975812254
625235.975933122,0.0008549829787835479,625221.962058288,625221.964126502,625221.969818243,625221.985524209,625221.985549026,625221.986827811,625221.986957975,625236.005391105
625236.005526951,0.0009506930093392714,625221.991483371,625221.993537488,625221.999327222,625222.016152485,625222.016181059,625222.017539313,625222.017707979,625236.036164644
625236.036289699,0.0009182589638680218,625222.022192519,625222.024192905,625222.029587279,625222.045136472,625222.045160537,625222.046296685,625222.046418103,625236.064825958
625236.064971743,0.000954784977123143,625222.050844283,625222.052820534,625222.058282103,625222.074504878,625222.074535646,625222.075638802,625222.075788893,625236.094340528
625236.09446854,0.0009334989261552684,625222.080707365,625222.082988658,625222.088789503,625222.105082029,625222.105103619,625222.106181347,625222.106293086,625236.124599039
625236.12474316,0.0008045850582569826,625222.110595765,625222.112617041,625222.118070876,625222.133698817,625222.133723724,625222.134897362,625222.13504578,625236.153388745
625236.153505384,0.0009499930110722782,625222.13943486,625222.141455565,625222.147327874,625222.164175559,625222.164201959,625222.165275099,625222.165405573,625236.183776377
625236.183903928,0.0008605379911437623,625222.169710937,625222.171679404,625222.177158697,625222.193148054,625222.193168422,625222.194406061,625222.194518831,625236.212896466
625236.2130689,0.0007999719497859478,625222.198840686,625222.200805767,625222.206599919,625222.222690837,625222.222720973,625222.223860678,625222.224036818,625236.242530872
625236.242672177,0.000863888010494411,625222.228601207,625222.230735084,625222.236325304,625222.252720772,625222.252741601,625222.25392635,625222.25407042,625236.272531065
625236.272682339,0.00091827008973807,625222.258551093,625222.260599098,625222.266329611,625222.282167005,625222.282193494,625222.283337025,625222.283467931,625236.301930609
625236.302151985,0.0009132169987037773,625222.288279342,625222.29038138,625222.296097857,625222.312393117,625222.312419125,625222.313590891,625222.313742214,625236.332286202
625236.33243382,0.0010012560297846806,625222.318432228,625222.320472199,625222.326132491,625222.342598942,625222.34262444,625222.343632037,625222.343764736,625236.362297076
625236.362435505,0.0008990949714258317,625222.34843904,625222.350500161,625222.356338926,625222.372877964,625222.372904854,625222.373990819,625222.374140538,625236.3926276
625236.392755371,0.0008873669530302282,625222.379076062,625222.381277877,625222.387230336,625222.404559934,625222.404592655,625222.405861551,625222.406192791,625236.424771738
625236.424903476,0.0009555800156667814,625222.411336105,625222.413509777,625222.419401792,625222.435083914,625222.435112027,625222.436270747,625222.436386504,625236.454859056
625236.454991736,0.0009078030024990448,625222.440941936,625222.44294101,625222.448451462,625222.464168589,625222.464194718,625222.465334443,625222.465451201,625236.483960539
625236.484135138,0.0008987789569646111,625222.470358222,625222.47255656,625222.477957515,625222.492791439,625222.49281846,625222.493917659,625222.49411641,625236.512957917
625236.513158774,0.0009111650003790842,625222.499148936,625222.501285398,625222.506918879,625222.522496296,625222.522522896,625222.523751186,625222.523877372,625236.542441939
